Random State,Dataset number,Is regression,Noise mode,Noise level,Drop mode,Drop level,Imputation mode,Val score 0,Val score 1,Val score 2,Val score 3,Initial val score 0,Initial val score 1,Initial val score 2,Initial val score 3
0,0,True,2,0.1,1,0.1,1,0.07114411168289121,0.06193010588046851,0.052786641528581535,0.050718731510524494,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.1,2,0.05151783177743006,0.059160914614754916,0.051787647746505405,0.050938481383366215,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.1,3,0.051464587714373004,0.0594543356724045,0.05193859242852882,0.05095827784887252,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.1,4,0.05053223981131746,0.0564409048075917,0.05087922895363412,0.050027444038646514,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.1,5,0.05112058378097182,0.06022117497763941,0.051352225644015675,0.05033644186916567,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.2,1,0.07413194323000044,0.06424200658434304,0.055689997642605515,0.05310876608969927,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.2,2,0.05352358390212398,0.06361959486110381,0.05477074354723934,0.053865722657424044,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.2,3,0.053522124950134475,0.06290547271848891,0.05481387776537664,0.05386679253023955,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.2,4,0.05219601888699274,0.05958162305435908,0.05279085063229966,0.05199927266213352,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
0,0,True,2,0.1,1,0.2,5,0.05268787950067294,0.06142938477539487,0.05397399936391759,0.0528501202367597,0.04013333290788204,0.047101046976715334,0.043268031828838184,0.04093297714768385
